AnalyticalRecord,Passage,Analysis,List
urn:cite:ptolemy:geotype_ex.116,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.72,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.117,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.73,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.118,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.1,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.119,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.120,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.3,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.121,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.122,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.5,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.123,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.6,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.124,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.7,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.125,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.8,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.126,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.9,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.127,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.10,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.128,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.11,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.129,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.12,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.130,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7.13,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.131,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.1,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.132,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.133,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.3,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.134,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.4,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.135,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.5,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.136,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.6,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.137,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.7,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.138,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.8,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.139,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.9,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.140,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.10,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.141,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.11,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.142,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8.12,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.143,urn:cts:greekLit:tlg0363.tlg009.hc01:2.9.1,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.144,urn:cts:greekLit:tlg0363.tlg009.hc01:2.9.2,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.145,urn:cts:greekLit:tlg0363.tlg009.hc01:2.9.3,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.146,urn:cts:greekLit:tlg0363.tlg009.hc01:2.9.4,urn:cite:ptolemy:geotype.8,
urn:cite:ptolemy:geotype_ex.147,urn:cts:greekLit:tlg0363.tlg009.hc01:2.9.5,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.148,urn:cts:greekLit:tlg0363.tlg009.hc01:2.9.6,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.149,urn:cts:greekLit:tlg0363.tlg009.hc01:2.9.7,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.150,urn:cts:greekLit:tlg0363.tlg009.hc01:2.9.8,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.151,urn:cts:greekLit:tlg0363.tlg009.hc01:2.9.9,urn:cite:ptolemy:geotype.4,
