Urn,Site,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_2253,'Kuthnos (Kythnos) in achea',24.389028700000001,37.384716500000003
urn:cite:ptolemy:lonlat.pt_ll_2254,'Rhene (Rheneia) in achaea',25.213287000000001,37.412059999999997
urn:cite:ptolemy:lonlat.pt_ll_2255,'Phorbia akra (Phorbia) in achaea',25.370000000000001,37.439999999999998
urn:cite:ptolemy:lonlat.pt_ll_2256,'Mukonou he polis (Mykonos) in achaea',25.370000000000001,37.439999999999998
urn:cite:ptolemy:lonlat.pt_ll_2257,'Naxou nesou he polis (Naxos) in achaea',25.489999999999998,37.049999999999997
urn:cite:ptolemy:lonlat.pt_ll_2258,'Parou nesou he polis (Paros) in achaea',25.190000000000001,37.049999999999997
urn:cite:ptolemy:lonlat.pt_ll_2259,'to Sounion autÄ“s akron (Sounion) in achaea',24.035919499999999,37.683423000000005
urn:cite:ptolemy:lonlat.pt_ll_2260,'Siphnou nÄ“sou hÄ“ polis (Siphnos) in achaea',24.666667,36.983333000000002
urn:cite:ptolemy:lonlat.pt_ll_2262,'Pholekandrou (Pholegandros) in achaea',24.899999999999999,36.616667
urn:cite:ptolemy:lonlat.pt_ll_2263,'Sikinou (Sikinos) in achaea',25.116667,36.683332999999998
urn:cite:ptolemy:lonlat.pt_ll_2895,'Neilou polis in marmarice',29.656393999999999,30.994820000000001
urn:cite:ptolemy:lonlat.pt_ll_2896,'AphroditÄ“s polis in marmarice (Aphroditopolis)',31.416623000000001,26.833144999999998
urn:cite:ptolemy:lonlat.pt_ll_2897,'Aggurōn ē Agkurōn polis in marmarice (Tocra)',20.565847000000002,32.537142000000003
urn:cite:ptolemy:lonlat.pt_ll_2905,'Tentura in marmarice (Tentyra)',32.670097222222218,26.141774999999999
urn:cite:ptolemy:lonlat.pt_ll_2924,'Suēnē (Συήνη)',32.898040000000002,24.081157999999999
urn:cite:ptolemy:lonlat.pt_ll_3271,'Telmēssos (Τελμησσός)',29.105772000000002,36.620899000000001
urn:cite:ptolemy:lonlat.pt_ll_3274,'Antiphellos (Ἀντίφελλος)',29.634934999999999,36.199973
urn:cite:ptolemy:lonlat.pt_ll_3275,'Andriakē (Ἀνδριάκη)',29.955110000000001,36.225751000000002
urn:cite:ptolemy:lonlat.pt_ll_3280,'Phasēlis (Φασηλίς)',30.551573000000001,36.524579000000003
urn:cite:ptolemy:lonlat.pt_ll_3285,'Siduma (Σίδυμα)',29.191693999999998,36.410249999999998
urn:cite:ptolemy:lonlat.pt_ll_3286,'Pinara (Πινάρα)',29.256891,36.489654999999999
urn:cite:ptolemy:lonlat.pt_ll_3287,'Araxa (Ἄραξα)',29.369329000000004,36.745486999999997
urn:cite:ptolemy:lonlat.pt_ll_3288,'Xanthos (Ξάνθος)',29.318359999999998,36.355933999999998
urn:cite:ptolemy:lonlat.pt_ll_3289,'Korudalla (Κορύδαλλα)',30.273281000000001,36.376674000000001
urn:cite:ptolemy:lonlat.pt_ll_3291,'Trebendai (Τρεβένδαι)',29.930819,36.269278
urn:cite:ptolemy:lonlat.pt_ll_3292,'Phellos (Φελλός)',29.662237000000001,36.242820999999999
urn:cite:ptolemy:lonlat.pt_ll_3293,'Mura (Μύρα)',29.985558999999999,36.258392999999998
urn:cite:ptolemy:lonlat.pt_ll_3294,'Limura (Λιμύρα)',30.171189999999999,36.343745333333331
urn:cite:ptolemy:lonlat.pt_ll_3295,'Podalaia (Ποδαλαία)',30.052252999999997,36.685847000000003
urn:cite:ptolemy:lonlat.pt_ll_3297,'Khōma (Χῶμα)',29.820042000000001,36.63608
urn:cite:ptolemy:lonlat.pt_ll_3299,'Boubōn (Βουβών)',29.407827999999999,36.968283
urn:cite:ptolemy:lonlat.pt_ll_3300,'Oineanda (Οἰνεάνδα)',29.549676999999999,36.809337999999997
urn:cite:ptolemy:lonlat.pt_ll_3301,'Balboura (Βάλβουρα)',29.581138999999997,36.955219999999997
urn:cite:ptolemy:lonlat.pt_ll_3319,'Amisos (Ἀμισός)',36.331299999999999,41.292721
urn:cite:ptolemy:lonlat.pt_ll_3333,'Pessinous (Πεσσινοῦς)',31.5840909,39.334237899999998
urn:cite:ptolemy:lonlat.pt_ll_3367,'Lustra (Λύστρα)',32.344496999999997,37.587378000000001
urn:cite:ptolemy:lonlat.pt_ll_3373,'Magudos (Μάγυδος)',30.793665000000001,36.852760000000004
urn:cite:ptolemy:lonlat.pt_ll_3376,'Sidē (Σίδη)',31.390552,36.768137000000003
urn:cite:ptolemy:lonlat.pt_ll_3390,'Ariassos (Ἀριασσός)',30.471312000000001,37.181621999999997
urn:cite:ptolemy:lonlat.pt_ll_3391,'Miluas (Μιλυάς)',29.75,36.75
urn:cite:ptolemy:lonlat.pt_ll_3392,'Termēssos (Τερμησσός)',30.467196999999999,36.982996
urn:cite:ptolemy:lonlat.pt_ll_3405,'Selgē (Σέλγη)',31.127222,37.229444000000001
urn:cite:ptolemy:lonlat.pt_ll_3408,'Lurbē (Λύρβη)',31.475921,36.873987999999997
urn:cite:ptolemy:lonlat.pt_ll_3579,'Nephelis (Νεφελίς)',32.382862000000003,36.175322999999999
urn:cite:ptolemy:lonlat.pt_ll_3580,'Anemourion (Ἀνεμούριον)',32.804577000000002,36.024616000000002
urn:cite:ptolemy:lonlat.pt_ll_3582,'Kelenderis (Κελενδερίς)',33.323694000000003,36.144258999999998
urn:cite:ptolemy:lonlat.pt_ll_3601,'Seleuukeia Trakheia (Σελευύκεια Τραχεῖα)',33.915353000000003,36.376809000000002
urn:cite:ptolemy:lonlat.pt_ll_3602,'Diokaisareia (Διοκαισάρεια)',33.925395000000002,36.581263
urn:cite:ptolemy:lonlat.pt_ll_3607,'Tarsos (Ταρσός)',34.891917999999997,36.9131
urn:cite:ptolemy:lonlat.pt_ll_3608,'Adana (Ἄδανα)',35.338676999999997,36.986559
urn:cite:ptolemy:lonlat.pt_ll_3666,'Phasis polis (Φάσις πόλις)',41.717213000000001,42.121777000000002
urn:cite:ptolemy:lonlat.pt_ll_3768,'Arsamosata (Ἀρσαμόσατα)',39.510917500000005,38.660866499999997
urn:cite:ptolemy:lonlat.pt_ll_3804,'Karpasia (Καρπασία)',34.369934000000001,35.626206000000003
urn:cite:ptolemy:lonlat.pt_ll_3812,'Soloi (Σόλοι)',34.542284000000002,36.744895999999997
urn:cite:ptolemy:lonlat.pt_ll_3832,'Simura (Σιμύρα)',36.007810999999997,34.726216000000001
urn:cite:ptolemy:lonlat.pt_ll_3839,'Sidōn (Σιδών)',35.371208000000003,33.560243
urn:cite:ptolemy:lonlat.pt_ll_3841,'Ekdippa (Ἐκδίππα)',35.108398999999999,33.047809000000001
urn:cite:ptolemy:lonlat.pt_ll_3870,'Zeugma (Ζεῦγμα)',37.8733395,37.053090500000003
urn:cite:ptolemy:lonlat.pt_ll_3871,'Eurōpos (Εὔρωπος)',40.727824250000005,34.750076750000005
urn:cite:ptolemy:lonlat.pt_ll_3875,'Eragiza ē Errhasiga (Ἐραγίζα ἢ Ἐῤῥασίγα)',38.071128000000002,36.206280999999997
urn:cite:ptolemy:lonlat.pt_ll_3876,'Gephura (Γέφυρα)',36.352594000000003,36.249651999999998
urn:cite:ptolemy:lonlat.pt_ll_3877,'Gindaros (Γίνδαρος)',36.688383000000002,36.385427999999997
urn:cite:ptolemy:lonlat.pt_ll_3878,'Imma (Ἴμμα)',36.569262000000002,36.241236999999998
urn:cite:ptolemy:lonlat.pt_ll_3879,'Antiokheia hÄ“ epi tou Orontou potamou',36.165317999999999,36.200662999999999
urn:cite:ptolemy:lonlat.pt_ll_3882,'Larissa',36.583910000000003,35.276229999999998
urn:cite:ptolemy:lonlat.pt_ll_3883,'Epiphaneia',36.748876000000003,35.133586999999999
urn:cite:ptolemy:lonlat.pt_ll_3885,'Antarados (Ἀντάραδος)',35.889290000000003,34.884894000000003
urn:cite:ptolemy:lonlat.pt_ll_3886,'Marathos (Μάραθος)',35.907066999999998,34.838763999999998
urn:cite:ptolemy:lonlat.pt_ll_3920,'Skuthopolis (Σκυθόπολις)',35.501959999999997,32.502074
urn:cite:ptolemy:lonlat.pt_ll_3921,'Gerasa (Γέρασα)',35.891455000000001,32.281264
urn:cite:ptolemy:lonlat.pt_ll_393,'Tarrakōn (Ταρράκων)',1.2580579999999999,41.119196000000002
urn:cite:ptolemy:lonlat.pt_ll_3932,'Palmura (Πάλμυρα)',38.266881799999993,34.552236600000001
urn:cite:ptolemy:lonlat.pt_ll_3939,'Alalis (Ἀλαλίς)',38.733046000000002,34.778675
urn:cite:ptolemy:lonlat.pt_ll_3959,'Gaza (Γάζα)',34.445391999999998,31.529444000000002
urn:cite:ptolemy:lonlat.pt_ll_3961,'Ludda (Λύδδα)',34.893068,31.950907999999998
urn:cite:ptolemy:lonlat.pt_ll_3962,'Antipatris (Ἀντιπατρίς)',34.930717000000001,32.104810999999998
urn:cite:ptolemy:lonlat.pt_ll_3966,'Phasēlis (Φασηλίς)',30.551573000000001,36.524579000000003
urn:cite:ptolemy:lonlat.pt_ll_4023,'Sipphara (Σιπφάρα)',44.252153,33.058829000000003
urn:cite:ptolemy:lonlat.pt_ll_4033,'Apameia (Ἀπάμεια)',37.870075999999997,37.067993999999999
urn:cite:ptolemy:lonlat.pt_ll_4035,'Edessa (Ἔδεσσα)',38.786695999999999,37.148632999999997
urn:cite:ptolemy:lonlat.pt_ll_4040,'Gizama (Γιζάμα)',40.023448000000002,36.849336999999998
urn:cite:ptolemy:lonlat.pt_ll_4043,'Nisibis (Νίσιβις)',41.214618999999999,37.068635
urn:cite:ptolemy:lonlat.pt_ll_4047,'Ballatha (Βάλλαθα)',38.385227,36.857393000000002
urn:cite:ptolemy:lonlat.pt_ll_4102,'Babulōn (Βαβυλών)',44.426023499999999,32.542956000000004
urn:cite:ptolemy:lonlat.pt_ll_4123,'Ktēsiphōn (Κτησιφών)',44.580717,33.093581999999998
urn:cite:ptolemy:lonlat.pt_ll_4134,'Gaugamēla (Γαυγάμηλα)',43.494323999999999,36.573315000000001
urn:cite:ptolemy:lonlat.pt_ll_4143,'Artemita (Ἀρτέμιτα)',43.276591000000003,38.422069
urn:cite:ptolemy:lonlat.pt_ll_4230,'Sousa (Σοῦσα)',48.253728500000001,32.188793500000003
urn:cite:ptolemy:lonlat.pt_ll_4252,'Aspadana (Ἀσπάδανα)',51.678813000000005,32.651066999999998
urn:cite:ptolemy:lonlat.pt_ll_4255,'Persepolis (Περσέπολις)',52.88841,29.935945
urn:cite:ptolemy:lonlat.pt_ll_426,'Interamnion (Ἰντεράμνιον)',-5.5,42.5
urn:cite:ptolemy:lonlat.pt_ll_4262,'Kinna in persis',33.033014000000001,39.226875999999997
urn:cite:ptolemy:lonlat.pt_ll_4264,'TaÄ“pa Ä“ Taispa (Khirbet el-Taiyineh) in persis',35.415061999999999,30.073726000000001
urn:cite:ptolemy:lonlat.pt_ll_4267,'Khorodna (Khordeh Cheshme)  in persis',47.138993999999997,33.738315
urn:cite:ptolemy:lonlat.pt_ll_4269,'Gabra in persis',1.672639,47.274937000000001
urn:cite:ptolemy:lonlat.pt_ll_4274,'Gabai in persis',51.678813000000005,32.651066999999998
urn:cite:ptolemy:lonlat.pt_ll_432,'Interamnion Phlaouion (Ἰντεράμνιον Φλαούιον)',-6.5,42.5
urn:cite:ptolemy:lonlat.pt_ll_435,'Interkatia (Ἰντερκατία)',-5.4050209999999996,41.986339999999998
urn:cite:ptolemy:lonlat.pt_ll_439,'Astourika Augousta (Ἀστούρικα Αὐγούστα)',-6.0635320000000004,42.458776
urn:cite:ptolemy:lonlat.pt_ll_440,'Nemetobriga (Νεμετόβριγα)',-7.2527619999999997,42.339838999999998
urn:cite:ptolemy:lonlat.pt_ll_4422,'Thoumna (Θούμνα)',38.745792999999999,25.523084999999998
urn:cite:ptolemy:lonlat.pt_ll_443,'Kaladounon (Καλάδουνον)',-7.6711980000000004,41.760986000000003
urn:cite:ptolemy:lonlat.pt_ll_4436,'Domana (Δόμανα)',39.651311,40.212238999999997
urn:cite:ptolemy:lonlat.pt_ll_4446,'Naskos mētropolis (Νάσκος μητρόπολις)',44.651994000000002,16.558214
urn:cite:ptolemy:lonlat.pt_ll_4529,'Karmana mētropolis (Κάρμανα μητρόπολις)',57.743416000000003,28.665407999999999
urn:cite:ptolemy:lonlat.pt_ll_4553,'Hurkania mētropolis (Ὑρκανία μητρόπολις)',56.299999999999997,37.100000000000001
urn:cite:ptolemy:lonlat.pt_ll_4584,'Alexandreia Ōxeianē (Ἀλεξάνδρεια Ὠξειανή)',69.411854000000005,37.163626000000001
urn:cite:ptolemy:lonlat.pt_ll_4586,'Alexandreia Eskhatē (Ἀλεξάνδρεια Ἐσχάτη)',69.640562000000003,40.264797999999999
urn:cite:ptolemy:lonlat.pt_ll_4883,'IndÄ',77.5,22.5
urn:cite:ptolemy:lonlat.pt_ll_4888,'Kalligeris',76.152405999999999,13.495276
urn:cite:ptolemy:lonlat.pt_ll_4889,'Modogoulla',76.438999999999993,16.001479
urn:cite:ptolemy:lonlat.pt_ll_5109,'hormos Ptolemais in marmarice (Myos Hormos)',34.244010000000003,26.156611000000002
urn:cite:ptolemy:lonlat.pt_ll_5137,'Zagmais (Ζαγμαΐς)',43.276591000000003,38.422069
urn:cite:ptolemy:lonlat.pt_ll_515,'Titoulkia',-3.5705309999999999,40.136592999999998
urn:cite:ptolemy:lonlat.pt_ll_516,'Mantoua',-3.8691460000000002,40.486950999999998
urn:cite:ptolemy:lonlat.pt_ll_517,'Tōlēton (Τώλητον)',-4.0244910000000003,39.856679999999997
urn:cite:ptolemy:lonlat.pt_ll_518,'Komplouton (Κόμπλουτον)',-3.3641350000000001,40.481662
urn:cite:ptolemy:lonlat.pt_ll_519,'Karakka (Κάρακκα)',-3.298619,40.351027999999999
urn:cite:ptolemy:lonlat.pt_ll_526,'Laminion (Λαμίνιον)',-3.0534530000000002,38.899450999999999
urn:cite:ptolemy:lonlat.pt_ll_527,'Belsinon (Βέλσινον)',0.52972200000000003,43.401915000000002
urn:cite:ptolemy:lonlat.pt_ll_5328,'Philai (Φιλαί)',32.884251999999996,24.025030999999998
urn:cite:ptolemy:lonlat.pt_ll_542,'Alaba (Ἄλαβα)',-3.088457,39.128726
urn:cite:ptolemy:lonlat.pt_ll_5430,'Sagalassos (Σαγαλασσός)',30.519444000000004,37.678055999999998
urn:cite:ptolemy:lonlat.pt_ll_5431,'Sinōpē (Σινώπη)',35.143037,42.025776
urn:cite:ptolemy:lonlat.pt_ll_5439,'Aggura ē Agkura mētropolis (Ἄγγυρα ἢ Ἄγκυρα μητρόπολις)',32.858128000000001,39.944386999999999
urn:cite:ptolemy:lonlat.pt_ll_5442,'Attaleia (Ἀττάλεια)',30.699967999999998,36.890309500000001
urn:cite:ptolemy:lonlat.pt_ll_5463,'Antiokheia epi Kragō (Ἀντιόχεια ἐπὶ Κράγῳ)',32.429518700000003,36.156355900000001
urn:cite:ptolemy:lonlat.pt_ll_5499,'Emmaous (Ἐμμαοῦς)',34.989663,31.83933
urn:cite:ptolemy:lonlat.pt_ll_5512,'Arxama (Ἄρξαμα)',40.639527999999999,37.262483000000003
urn:cite:ptolemy:lonlat.pt_ll_5513,'Karrhai (Κάῤῥαι)',39.031492,36.864691999999998
urn:cite:ptolemy:lonlat.pt_ll_5546,'TaokÄ“ in persis',51.187804999999997,29.275641
urn:cite:ptolemy:lonlat.pt_ll_5560,'Mokhoura (Μόχουρα)',38.456373999999997,25.625368999999999
urn:cite:ptolemy:lonlat.pt_ll_5591,'Baktra basileion (Βάκτρα βασίλειον)',66.900600499999996,36.7615135
